round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,flatten_layer,kernel_size,last_activation,losses,lr,num_filters,optimizer
5,0.7599720508249451,0.5381399989128113,0.5202901741665175,0.7565023,<function relu at 0x13c0421e0>,1,0.0,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,64,<class 'keras.optimizers.Adam'>
5,0.7698076901608998,0.5715778470039368,0.4854391166810343,0.767713,<function relu at 0x13c0421e0>,1,0.0,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,128,<class 'keras.optimizers.Adam'>
5,0.7752513069897411,0.5433647036552429,0.5842437052892546,0.6955157,<function relu at 0x13c0421e0>,1,0.0,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
5,0.6795188516627534,0.5851619839668274,0.650982400206139,0.6224215,<function relu at 0x13c0421e0>,1,0.0,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.6000000000000001,128,<class 'keras.optimizers.Adam'>
15,1.8289424685716142,0.5600835680961609,0.06048344068102605,0.9843049,<function relu at 0x13c0421e0>,1,0.0,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,64,<class 'keras.optimizers.Adam'>
15,1.796873942046567,0.5496342778205872,0.07310490147564033,0.9762332,<function relu at 0x13c0421e0>,1,0.0,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,128,<class 'keras.optimizers.Adam'>
15,1.9918603583893337,0.5538139939308167,0.14049845296036298,0.95201796,<function relu at 0x13c0421e0>,1,0.0,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
15,1.946549793417525,0.5475444197654724,0.16764186196170924,0.93721974,<function relu at 0x13c0421e0>,1,0.0,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.6000000000000001,128,<class 'keras.optimizers.Adam'>
5,0.7202694434886692,0.5673981308937073,0.5926990583555715,0.6753363,<function relu at 0x13c0421e0>,1,0.25,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,64,<class 'keras.optimizers.Adam'>
5,0.732139619532486,0.5673981308937073,0.5598118926160405,0.71793723,<function relu at 0x13c0421e0>,1,0.25,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,128,<class 'keras.optimizers.Adam'>
5,0.7118808091807889,0.554858922958374,0.6477079469242839,0.6210762,<function relu at 0x13c0421e0>,1,0.25,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
5,0.6920309301345077,0.5653082728385925,0.658099911644253,0.6098655,<function relu at 0x13c0421e0>,1,0.25,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.6000000000000001,128,<class 'keras.optimizers.Adam'>
15,1.0332428835782568,0.5653082728385925,0.29571868989198474,0.8748879,<function relu at 0x13c0421e0>,1,0.25,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,64,<class 'keras.optimizers.Adam'>
15,1.37015722068118,0.5506792068481445,0.18306034427221043,0.9251121,<function relu at 0x13c0421e0>,1,0.25,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,128,<class 'keras.optimizers.Adam'>
15,1.147682559123945,0.5412748456001282,0.3638756685515126,0.8295964,<function relu at 0x13c0421e0>,1,0.25,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
15,1.0575966003880368,0.5684430599212646,0.3811011383449896,0.82242155,<function relu at 0x13c0421e0>,1,0.25,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.6000000000000001,128,<class 'keras.optimizers.Adam'>
