round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,flatten_layer,kernel_size,last_activation,losses,lr,optimizer,shapes
10,17.969227434284164,0.49935317039489746,30.359786141269154,0.57626176,<function relu at 0x1370a5d90>,64,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
10,13.575308022492916,0.481241911649704,12.200676124094594,0.55795896,<function relu at 0x1370a5d90>,64,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,11.186284012041918,0.5265200734138489,14.778881541372206,0.56461453,<function relu at 0x1370a5d90>,64,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
10,9.675021093227885,0.5071151256561279,14.612987391365547,0.56905156,<function relu at 0x1370a5d90>,64,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,14.705154794616503,0.4967658519744873,17.27934944028003,0.5696062,<function relu at 0x1370a5d90>,64,0.0,10,64,150,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
10,10.704052087406291,0.5097024440765381,10.126849877457452,0.5751525,<function relu at 0x1370a5d90>,64,0.0,10,64,150,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,15.464892852506848,0.5368693470954895,25.547634808143112,0.54963946,<function relu at 0x1370a5d90>,64,0.0,10,64,150,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
10,19.608885381385242,0.5523932576179504,13.668564722396503,0.59179145,<function relu at 0x1370a5d90>,64,0.0,10,64,150,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,13.232399042334317,0.5006468296051025,11.829672235286838,0.5934554,<function relu at 0x1370a5d90>,64,0.0,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
10,35.074165265279476,0.46701163053512573,18.42717876529535,0.5696062,<function relu at 0x1370a5d90>,64,0.0,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
