round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,flatten_layer,kernel_size,last_activation,losses,lr,optimizer,shapes
10,10.069724208787372,0.529107391834259,26.891359832772135,0.51469773,<function relu at 0x1370a5d90>,64,0.25,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
10,11.112959749485821,0.5756791830062866,21.63917453700281,0.5196894,<function relu at 0x1370a5d90>,64,0.25,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,2.045176627025259,0.5730918645858765,10.01982931474547,0.54686636,<function relu at 0x1370a5d90>,64,0.25,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
10,3.0805241713856972,0.4126778841018677,3.427673504277196,0.49417636,<function relu at 0x1370a5d90>,64,0.25,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,4.090321036853272,0.5226390957832336,6.669777902178941,0.5252357,<function relu at 0x1370a5d90>,64,0.25,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
25,6.635494139031019,0.49417853355407715,10.398745241128136,0.50748754,<function relu at 0x1370a5d90>,64,0.25,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,1.082182733469762,0.5860284566879272,0.9950263020864012,0.583472,<function relu at 0x1370a5d90>,64,0.25,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
25,0.7972994803765459,0.597671389579773,0.6722502014204587,0.5895729,<function relu at 0x1370a5d90>,64,0.25,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,4.738568565052817,0.5135834217071533,6.895337360274177,0.54520243,<function relu at 0x1370a5d90>,64,0.25,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
25,3.762116526261955,0.5122897624969482,11.881541421263996,0.5280089,<function relu at 0x1370a5d90>,64,0.25,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,1.1449451580701484,0.5899094343185425,0.9743141855257323,0.5779257,<function relu at 0x1370a5d90>,64,0.25,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
25,1.2820459298914801,0.5963777303695679,0.9805445250906815,0.583472,<function relu at 0x1370a5d90>,64,0.25,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,19.365309603001446,0.5006468296051025,16.579306784961467,0.536883,<function relu at 0x1370a5d90>,128,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
10,17.211546035509986,0.5575678944587708,13.117788217494835,0.5590682,<function relu at 0x1370a5d90>,128,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
