,winner,loser,method,how,round,event_name,date,venue,city,country,attendance,url
0,Royce Gracie,Gerard Gordeau,submission,rear naked choke,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
1,Royce Gracie,Ken Shamrock,submission,sleeve choke,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
2,Gerard Gordeau,Kevin Rosier,tko,corner stoppage,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
3,Ken Shamrock,Patrick Smith,submission,heel hook,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
4,Royce Gracie,Art Jimmerson,submission,mount,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
5,Kevin Rosier,Zane Frazier,tko,corner stoppage,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
6,Gerard Gordeau,Teila Tuli,tko,head kick,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
7,Jason DeLucia,Trent Jenkins,submission,rearnaked choke,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
8,Royce Gracie,Patrick Smith,submission,punches,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
9,Patrick Smith,Johnny Rhodes,submission,guillotine choke,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
10,Royce Gracie,Remco Pardoel,submission,lapel choke,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
11,Patrick Smith,Scott Morris,ko,elbows,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
12,Johnny Rhodes,Fred Ettish,submission,bulldog choke,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
13,Remco Pardoel,Orlando Wiet,ko,elbows,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
14,Royce Gracie,Jason DeLucia,submission,armlock,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
15,Scott Morris,Sean Daugherty,submission,guillotine choke,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
16,Patrick Smith,Ray Wizard,submission,guillotine choke,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
17,Johnny Rhodes,David Levicki,submission,punches,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
18,Frank Hamaker,Thaddeus Luster,submission,armlock,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
19,Orlando Wiet,Robert Lucarelli,tko,corner stoppage,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
20,Remco Pardoel,Alberto Cerro Leon,submission,forearm choke,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
21,Jason DeLucia,Scott Baker,submission,triangle choke,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
22,Royce Gracie,Minoki Ichihara,submission,lapel choke,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
23,Steve Jennum,Harold Howard,submission,punches,,UFC 3: The American Dream,1994-09-09,Grady Cole Center,charlotte,usa,,https://en.wikipedia.org/wiki/UFC_3
24,Ken Shamrock,Felix Mitchell,submission,rearnaked choke,,UFC 3: The American Dream,1994-09-09,Grady Cole Center,charlotte,usa,,https://en.wikipedia.org/wiki/UFC_3
25,Keith Hackney,Emmanuel Yarborough,tko,punches,,UFC 3: The American Dream,1994-09-09,Grady Cole Center,charlotte,usa,,https://en.wikipedia.org/wiki/UFC_3
26,Ken Shamrock,Christophe Leininger,submission,punches,,UFC 3: The American Dream,1994-09-09,Grady Cole Center,charlotte,usa,,https://en.wikipedia.org/wiki/UFC_3
27,Harold Howard,Roland Payne,ko,punch,,UFC 3: The American Dream,1994-09-09,Grady Cole Center,charlotte,usa,,https://en.wikipedia.org/wiki/UFC_3
28,Royce Gracie,Kimo Leopoldo,submission,armlock,,UFC 3: The American Dream,1994-09-09,Grady Cole Center,charlotte,usa,,https://en.wikipedia.org/wiki/UFC_3
29,Royce Gracie,Dan Severn,submission,triangle choke,,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,tulsa,usa,5857.0,https://en.wikipedia.org/wiki/UFC_4
30,Royce Gracie,Keith Hackney,submission,armbar,,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,tulsa,usa,5857.0,https://en.wikipedia.org/wiki/UFC_4
31,Dan Severn,Marcus Bossett,submission,armtriangle choke,,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,tulsa,usa,5857.0,https://en.wikipedia.org/wiki/UFC_4
32,Royce Gracie,Ron van Clief,submission,rearnaked choke,,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,tulsa,usa,5857.0,https://en.wikipedia.org/wiki/UFC_4
33,Keith Hackney,Joe Son,submission,blood choke,,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,tulsa,usa,5857.0,https://en.wikipedia.org/wiki/UFC_4
34,Steve Jennum,Melton Bowen,submission,armbar,,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,tulsa,usa,5857.0,https://en.wikipedia.org/wiki/UFC_4
35,Dan Severn,Anthony Macias,submission,rearnaked choke,,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,tulsa,usa,5857.0,https://en.wikipedia.org/wiki/UFC_4
36,Joe Charles,Kevin Rosier,submission,armbar,,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,tulsa,usa,5857.0,https://en.wikipedia.org/wiki/UFC_4
37,Marcus Bossett,Eldo Dias Xavier,ko,strikes,,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,tulsa,usa,5857.0,https://en.wikipedia.org/wiki/UFC_4
38,Guy Mezger,Jason Fairn,tko,corner stoppage,,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,tulsa,usa,5857.0,https://en.wikipedia.org/wiki/UFC_4
39,Ken Shamrock,Royce Gracie,draw,,,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,charlotte,usa,6000.0,https://en.wikipedia.org/wiki/UFC_5
40,Dan Severn,Dave Beneteau,submission,keylock,,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,charlotte,usa,6000.0,https://en.wikipedia.org/wiki/UFC_5
41,Dave Beneteau,Todd Medina,submission,strikes,,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,charlotte,usa,6000.0,https://en.wikipedia.org/wiki/UFC_5
42,Dan Severn,Oleg Taktarov,tko,cut,,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,charlotte,usa,6000.0,https://en.wikipedia.org/wiki/UFC_5
43,Jon Hess,Andy Anderson,tko,punches,,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,charlotte,usa,6000.0,https://en.wikipedia.org/wiki/UFC_5
44,Todd Medina,Larry Cureton,submission,forearm choke,,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,charlotte,usa,6000.0,https://en.wikipedia.org/wiki/UFC_5
45,Oleg Taktarov,Ernie Verdicia,submission,choke,,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,charlotte,usa,6000.0,https://en.wikipedia.org/wiki/UFC_5
46,Dan Severn,Joe Charles,submission,rearnaked choke,,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,charlotte,usa,6000.0,https://en.wikipedia.org/wiki/UFC_5
47,Dave Beneteau,Asbel Cancio,tko,punches,,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,charlotte,usa,6000.0,https://en.wikipedia.org/wiki/UFC_5
48,Guy Mezger,John Dowdy,tko,punches,,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,charlotte,usa,6000.0,https://en.wikipedia.org/wiki/UFC_5
49,Ken Shamrock,Dan Severn,submission,guillotine choke,,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,casper,usa,2700.0,https://en.wikipedia.org/wiki/UFC_6
50,Oleg Taktarov,Tank Abbott,submission,rearnaked choke,,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,casper,usa,2700.0,https://en.wikipedia.org/wiki/UFC_6
51,Tank Abbott,Paul Varelans,tko,punches,,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,casper,usa,2700.0,https://en.wikipedia.org/wiki/UFC_6
52,Oleg Taktarov,Anthony Macias,submission,guillotine choke,,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,casper,usa,2700.0,https://en.wikipedia.org/wiki/UFC_6
53,Tank Abbott,John Matua,ko,punch,,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,casper,usa,2700.0,https://en.wikipedia.org/wiki/UFC_6
54,Paul Varelans,Cal Worsham,ko,elbow,,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,casper,usa,2700.0,https://en.wikipedia.org/wiki/UFC_6
55,Patrick Smith,Rudyard Moncayo,submission,rearnaked choke,,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,casper,usa,2700.0,https://en.wikipedia.org/wiki/UFC_6
56,Oleg Taktarov,Dave Beneteau,submission,guillotine,,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,casper,usa,2700.0,https://en.wikipedia.org/wiki/UFC_6
57,Joel Sutton,Jack McLaughlin,submission,punches,,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,casper,usa,2700.0,https://en.wikipedia.org/wiki/UFC_6
58,Anthony Macias,He-Man Ali Gipson,submission,punches,,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,casper,usa,2700.0,https://en.wikipedia.org/wiki/UFC_6
59,Ken Shamrock (c),Oleg Taktarov,draw,,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
60,Marco Ruas,Paul Varelans,tko,strikes,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
61,Paul Varelans,Mark Hall,submission,keylock,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
62,Marco Ruas,Remco Pardoel,submission,position,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
63,Paul Varelans,Gerry Harris,submission,elbows,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
64,Mark Hall,Harold Howard,submission,strikes,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
65,Remco Pardoel,Ryan Parker,submission,lapel choke,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
66,Marco Ruas,Larry Cureton,submission,heel hook,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
67,Joel Sutton,Geza Kalman,tko,cut,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
68,Onassis Parungao,Francesco Maturi,submission,strikes,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
69,Scott Bessac,David Hood,submission,guillotine choke,,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,buffalo,usa,9000.0,https://en.wikipedia.org/wiki/UFC_7
70,Dan Severn,Oleg Taktarov,decision,unanimous,,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,denver,usa,2800.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995
71,Dan Severn,Tank Abbott,decision,unanimous,,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,denver,usa,2800.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995
72,Oleg Taktarov,Marco Ruas,decision,unanimous,,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,denver,usa,2800.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995
73,Tank Abbott,Steve Jennum,submission,neck crank,,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,denver,usa,2800.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995
74,Dan Severn,Paul Varelans,submission,armtriangle choke,,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,denver,usa,2800.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995
75,Marco Ruas,Keith Hackney,submission,rearnaked choke,,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,denver,usa,2800.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995
76,Oleg Taktarov,Dave Beneteau,submission,achilles hold,,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,denver,usa,2800.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995
77,Joe Charles,Scott Bessac,submission,armlock,,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,denver,usa,2800.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995
78,Mark Hall,Trent Jenkins,submission,armlock,,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,denver,usa,2800.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995
79,Ken Shamrock (c),Kimo Leopoldo,submission,kneebar,,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,bayamón,puerto rico,13000.0,https://en.wikipedia.org/wiki/UFC_8
80,Don Frye,Gary Goodridge,submission,position,,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,bayamón,puerto rico,13000.0,https://en.wikipedia.org/wiki/UFC_8
81,Don Frye,Sam Adkins,tko,doctor stoppage,,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,bayamón,puerto rico,13000.0,https://en.wikipedia.org/wiki/UFC_8
82,Gary Goodridge,Jerry Bohlander,tko,punches,,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,bayamón,puerto rico,13000.0,https://en.wikipedia.org/wiki/UFC_8
83,Don Frye,Thomas Ramirez,ko,punch,,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,bayamón,puerto rico,13000.0,https://en.wikipedia.org/wiki/UFC_8
84,Paul Varelans,Joe Moreira,decision,unanimous,,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,bayamón,puerto rico,13000.0,https://en.wikipedia.org/wiki/UFC_8
85,Jerry Bohlander,Scott Ferrozzo,submission,guillotine choke,,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,bayamón,puerto rico,13000.0,https://en.wikipedia.org/wiki/UFC_8
86,Gary Goodridge,Paul Herrera,ko,elbows,,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,bayamón,puerto rico,13000.0,https://en.wikipedia.org/wiki/UFC_8
87,Sam Adkins,Keith Mielke,submission,punches,,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,bayamón,puerto rico,13000.0,https://en.wikipedia.org/wiki/UFC_8
88,Dan Severn,Ken Shamrock (c),decision,split,,UFC 9: Motor City Madness,1996-05-17,Cobo Arena,detroit,usa,10000.0,https://en.wikipedia.org/wiki/UFC_9
89,Steve Nelmark,Tai Bowden,tko,doctor stoppage,,UFC 9: Motor City Madness,1996-05-17,Cobo Arena,detroit,usa,10000.0,https://en.wikipedia.org/wiki/UFC_9
90,Cal Worsham,Zane Frazier,tko,punches,,UFC 9: Motor City Madness,1996-05-17,Cobo Arena,detroit,usa,10000.0,https://en.wikipedia.org/wiki/UFC_9
91,Rafael Carino,Matt Andersen,tko,punches,,UFC 9: Motor City Madness,1996-05-17,Cobo Arena,detroit,usa,10000.0,https://en.wikipedia.org/wiki/UFC_9
92,Mark Schultz,Gary Goodridge,tko,cut,,UFC 9: Motor City Madness,1996-05-17,Cobo Arena,detroit,usa,10000.0,https://en.wikipedia.org/wiki/UFC_9
93,Mark Hall,Koji Kitao,tko,doctor stoppage broken nose,,UFC 9: Motor City Madness,1996-05-17,Cobo Arena,detroit,usa,10000.0,https://en.wikipedia.org/wiki/UFC_9
94,Don Frye,Amaury Bitetti,tko,punches,,UFC 9: Motor City Madness,1996-05-17,Cobo Arena,detroit,usa,10000.0,https://en.wikipedia.org/wiki/UFC_9
95,Mark Coleman,Don Frye,tko,punches,,UFC 10: The Tournament,1996-07-12,Fair Park Arena,birmingham,usa,4300.0,https://en.wikipedia.org/wiki/UFC_10
96,Don Frye,Brian Johnston,submission,elbow,,UFC 10: The Tournament,1996-07-12,Fair Park Arena,birmingham,usa,4300.0,https://en.wikipedia.org/wiki/UFC_10
97,Mark Coleman,Gary Goodridge,submission,exhaustion,,UFC 10: The Tournament,1996-07-12,Fair Park Arena,birmingham,usa,4300.0,https://en.wikipedia.org/wiki/UFC_10
98,Don Frye,Mark Hall,tko,punches,,UFC 10: The Tournament,1996-07-12,Fair Park Arena,birmingham,usa,4300.0,https://en.wikipedia.org/wiki/UFC_10
99,Brian Johnston,Scott Fiedler,submission,punches,,UFC 10: The Tournament,1996-07-12,Fair Park Arena,birmingham,usa,4300.0,https://en.wikipedia.org/wiki/UFC_10
100,Mark Coleman,Moti Horenstein,submission,punches,,UFC 10: The Tournament,1996-07-12,Fair Park Arena,birmingham,usa,4300.0,https://en.wikipedia.org/wiki/UFC_10
101,Gary Goodridge,John Campetella,ko,punches,,UFC 10: The Tournament,1996-07-12,Fair Park Arena,birmingham,usa,4300.0,https://en.wikipedia.org/wiki/UFC_10
102,Geza Kalman,Dieuseul Berto,tko,punches,,UFC 10: The Tournament,1996-07-12,Fair Park Arena,birmingham,usa,4300.0,https://en.wikipedia.org/wiki/UFC_10
103,Sam Adkins,Felix Mitchell,decision,unanimous,,UFC 10: The Tournament,1996-07-12,Fair Park Arena,birmingham,usa,4300.0,https://en.wikipedia.org/wiki/UFC_10
104,Mark Coleman,,,,,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,augusta,usa,4500.0,https://en.wikipedia.org/wiki/UFC_11
105,Mark Coleman,Brian Johnston,submission,strikes,,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,augusta,usa,4500.0,https://en.wikipedia.org/wiki/UFC_11
106,Scott Ferrozzo,Tank Abbott,decision,unanimous,,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,augusta,usa,4500.0,https://en.wikipedia.org/wiki/UFC_11
107,Mark Coleman,Julian Sanchez,submission,scarf hold choke,,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,augusta,usa,4500.0,https://en.wikipedia.org/wiki/UFC_11
108,Brian Johnston,Reza Nasri,tko,strikes,,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,augusta,usa,4500.0,https://en.wikipedia.org/wiki/UFC_11
109,Tank Abbott,Sam Adkins,submission,forearm choke,,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,augusta,usa,4500.0,https://en.wikipedia.org/wiki/UFC_11
110,Jerry Bohlander,Fabio Gurgel,decision,unanimous,,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,augusta,usa,4500.0,https://en.wikipedia.org/wiki/UFC_11
111,Scott Ferrozzo,Sam Fulton,submission,strikes,,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,augusta,usa,4500.0,https://en.wikipedia.org/wiki/UFC_11
112,Roberto Traven,Dave Berry,submission,strikes,,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,augusta,usa,4500.0,https://en.wikipedia.org/wiki/UFC_11
113,Don Frye,Tank Abbott,submission,rearnaked choke,,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,birmingham,usa,6000.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
114,Tank Abbott,Steve Nelmark,ko,punch,,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,birmingham,usa,6000.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
115,Don Frye,Mark Hall,submission,achilles lock,,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,birmingham,usa,6000.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
116,Ken Shamrock,Brian Johnston,submission,forearm choke,,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,birmingham,usa,6000.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
117,Tank Abbott,Cal Worsham,submission,punches,,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,birmingham,usa,6000.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
118,Don Frye,Gary Goodridge,submission,fatigue,,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,birmingham,usa,6000.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
119,Kimo Leopoldo,Paul Varelans,tko,corner stoppage,,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,birmingham,usa,6000.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
120,Mark Hall,Felix Mitchell,tko,punches,,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,birmingham,usa,6000.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
121,Steve Nelmark,Marcus Bossett,submission,choke,,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,birmingham,usa,6000.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
122,Tai Bowden,Jack Nilson,submission,headbutts,,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,birmingham,usa,6000.0,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
123,Jerry Bohlander,Nick Sanzo,submission,neck crank,,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,dothan,usa,3100.0,https://en.wikipedia.org/wiki/UFC_12
124,Jerry Bohlander,Rainy Martinez,submission,rear naked choke,,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,dothan,usa,3100.0,https://en.wikipedia.org/wiki/UFC_12
125,Yoshiki Takahashi,Wallid Ismail,decision,,,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,dothan,usa,3100.0,https://en.wikipedia.org/wiki/UFC_12
126,Nick Sanzo,Jackie Lee,tko,strikes,,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,dothan,usa,3100.0,https://en.wikipedia.org/wiki/UFC_12
127,Mark Coleman,Dan Severn,submission,neck crank,,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,dothan,usa,3100.0,https://en.wikipedia.org/wiki/UFC_12
128,Vitor Belfort,Scott Ferrozzo,tko,punches,,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,dothan,usa,3100.0,https://en.wikipedia.org/wiki/UFC_12
129,Scott Ferrozzo,Jim Mullen,tko,punches,,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,dothan,usa,3100.0,https://en.wikipedia.org/wiki/UFC_12
130,Vitor Belfort,Tra Telligman,tko,cut,,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,dothan,usa,3100.0,https://en.wikipedia.org/wiki/UFC_12
131,Justin Martin,Eric Martin,submission,heel hook,,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,dothan,usa,3100.0,https://en.wikipedia.org/wiki/UFC_12
132,Guy Mezger,Tito Ortiz,submission,guillotine choke,,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,augusta,usa,5100.0,https://en.wikipedia.org/wiki/UFC_13
133,Guy Mezger,Christophe Leininger,decision,unanimous,,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,augusta,usa,5100.0,https://en.wikipedia.org/wiki/UFC_13
134,Enson Inoue,Royce Alger,submission,armbar,,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,augusta,usa,5100.0,https://en.wikipedia.org/wiki/UFC_13
135,Tito Ortiz,Wes Albritton,tko,corner stoppage,,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,augusta,usa,5100.0,https://en.wikipedia.org/wiki/UFC_13
136,Randy Couture,Steven Graham,tko,punches,,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,augusta,usa,5100.0,https://en.wikipedia.org/wiki/UFC_13
137,Steven Graham,Dmitri Stepanov,submission,armlock,,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,augusta,usa,5100.0,https://en.wikipedia.org/wiki/UFC_13
138,Randy Couture,Tony Halme,submission,rearnaked choke,,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,augusta,usa,5100.0,https://en.wikipedia.org/wiki/UFC_13
139,Jack Nilson,Saeed Hosseini,tko,punches,,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,augusta,usa,5100.0,https://en.wikipedia.org/wiki/UFC_13
140,Vitor Belfort,Tank Abbott,tko,punches,,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,augusta,usa,5100.0,https://en.wikipedia.org/wiki/UFC_13
141,Maurice Smith,Mark Coleman (c),decision,unanimous,,UFC 14: Showdown,1997-07-27,Boutwell Memorial Auditorium,birmingham,usa,5000.0,https://en.wikipedia.org/wiki/UFC_14
142,Kevin Jackson,Tony Fryklund,submission,rearnaked choke,,UFC 14: Showdown,1997-07-27,Boutwell Memorial Auditorium,birmingham,usa,5000.0,https://en.wikipedia.org/wiki/UFC_14
143,Joe Moreira,Yuri Vaulin,decision,unanimous,,UFC 14: Showdown,1997-07-27,Boutwell Memorial Auditorium,birmingham,usa,5000.0,https://en.wikipedia.org/wiki/UFC_14
144,Kevin Jackson,Todd Butler,submission,punches,,UFC 14: Showdown,1997-07-27,Boutwell Memorial Auditorium,birmingham,usa,5000.0,https://en.wikipedia.org/wiki/UFC_14
145,Tony Fryklund,Donnie Chappell,submission,choke,,UFC 14: Showdown,1997-07-27,Boutwell Memorial Auditorium,birmingham,usa,5000.0,https://en.wikipedia.org/wiki/UFC_14
146,Mark Kerr,Dan Bobish,submission,chin to the eye,,UFC 14: Showdown,1997-07-27,Boutwell Memorial Auditorium,birmingham,usa,5000.0,https://en.wikipedia.org/wiki/UFC_14
