,round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes,precision,recall,fbeta_score,support
113,25,1.7513912379056558,0.5367816090583801,0.07425685860290095,0.9718934893608093,<function relu at 0x7fbc08d68620>,256,0.01,25,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6106870229007634,0.6165703275529865,0.613614573346117,
10,10,0.7963720043500264,0.5367816090583801,0.46194559776571376,0.8170611262321472,<function relu at 0x7fbc08d68620>,64,0.01,10,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6124031007751938,0.6088631984585742,0.6106280193236715,
112,25,1.2251897041825042,0.5367816090583801,0.1693547300156757,0.9191321730613708,<function relu at 0x7fbc08d68620>,256,0.01,25,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6174089068825911,0.5876685934489403,0.6021717670286278,
15,25,0.7014959106500122,0.5367816090583801,0.690109615495219,0.6025640964508057,<function relu at 0x7fbc08d68620>,64,0.01,25,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.5941558441558441,0.7052023121387283,0.6449339207048458,
99,10,0.7183473092386092,0.5356321930885315,0.7107360146689933,0.5414201021194458,<function relu at 0x7fbc08d68620>,256,0.01,10,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.583941605839416,0.7707129094412332,0.6644518272425248,
136,25,0.978070419136135,0.5356321930885315,0.3190496612112433,0.8353056907653809,<function relu at 0x7fbc08d68620>,256,0.1,25,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6028622540250447,0.649325626204239,0.6252319109461967,
95,25,1.2810009010906878,0.5344827771186829,0.3541715801114867,0.8619329333305359,<function relu at 0x7fbc08d68620>,128,0.1,25,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6295454545454545,0.5337186897880539,0.5776850886339937,
123,10,0.693732086406357,0.5344827771186829,0.7051720627431098,0.5172584056854248,<function relu at 0x7fbc08d68620>,256,0.1,10,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.6130952380952381,0.5953757225433526,0.6041055718475073,
64,25,1.4613914747347776,0.5344827771186829,0.1203920166990931,0.9437869787216187,<function relu at 0x7fbc08d68620>,128,0.01,25,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6192468619246861,0.5703275529865125,0.5937813440320963,
7,10,0.78425574028629,0.5333333611488342,0.5150339086145104,0.7357001900672913,<function relu at 0x7fbc08d68620>,64,0.01,10,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6287015945330297,0.5317919075144508,0.5762004175365344,
