round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes
1,306.51069210787796,0.4398447573184967,532.7854694317792,0.5396561,<function relu at 0x1370a5d90>,64,0.0,10,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,65.53578666203389,0.561448872089386,190.37445728473378,0.5124792,<function relu at 0x1370a5d90>,64,0.0,10,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,76.60504275737728,0.4799482524394989,173.65141360917093,0.5135885,<function relu at 0x1370a5d90>,64,0.0,10,64,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,97.04337824023249,0.5640362501144409,210.45184023196472,0.5024958,<function relu at 0x1370a5d90>,64,0.0,10,64,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,118.2221855173444,0.49288487434387207,207.84265889925754,0.5141431,<function relu at 0x1370a5d90>,64,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,115.82687901031771,0.49288487434387207,369.0001455128226,0.5252357,<function relu at 0x1370a5d90>,64,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,113.84311505276975,0.4902975559234619,555.8817995889149,0.53410983,<function relu at 0x1370a5d90>,64,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,97.42922219082732,0.4566623568534851,122.36999400853449,0.5174709,<function relu at 0x1370a5d90>,64,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,207.68147555668327,0.4747736155986786,423.6154997746811,0.49861342,<function relu at 0x1370a5d90>,64,0.0,20,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,176.6824284562164,0.49935317039489746,339.3534490719677,0.5246811,<function relu at 0x1370a5d90>,64,0.0,20,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,105.39216882229468,0.5006468296051025,358.2405728950014,0.5013866,<function relu at 0x1370a5d90>,64,0.0,20,64,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,63.00101186202075,0.5536869168281555,115.6967516500819,0.52024406,<function relu at 0x1370a5d90>,64,0.0,20,64,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,169.46585106695454,0.481241911649704,326.8610842086445,0.50027734,<function relu at 0x1370a5d90>,64,0.0,20,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,157.88246358104078,0.5265200734138489,442.05767727480026,0.49195784,<function relu at 0x1370a5d90>,64,0.0,20,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,153.21140955028065,0.5562742352485657,373.45401518912166,0.5219079,<function relu at 0x1370a5d90>,64,0.0,20,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,111.97081054845418,0.6015523672103882,159.14979448122776,0.5108153,<function relu at 0x1370a5d90>,64,0.0,20,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,228.90833696017444,0.5575678944587708,623.927737472458,0.4575707,<function relu at 0x1370a5d90>,64,0.0,40,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
