round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes
1,65.15186748282566,0.49288487434387207,168.67893987857693,0.50305045,<function relu at 0x1370a5d90>,32,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>,brick
1,78.16092165691578,0.5135834217071533,169.95655952766745,0.5130338,<function relu at 0x1370a5d90>,32,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>,brick
1,90.14474210455377,0.5601552128791809,138.66707247809708,0.5019412,<function relu at 0x1370a5d90>,32,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>,brick
1,62.38224366102922,0.5239327549934387,175.6102532055136,0.52634495,<function relu at 0x1370a5d90>,32,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>,brick
1,65.27217748772743,0.5122897624969482,99.39036167163817,0.49584025,<function relu at 0x1370a5d90>,32,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>,brick
1,56.06871349537049,0.5239327549934387,155.23838299641793,0.5196894,<function relu at 0x1370a5d90>,32,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>,brick
1,63.0352822583829,0.5161707401275635,116.87848163589926,0.5069329,<function relu at 0x1370a5d90>,32,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>,brick
1,110.93285876196384,0.5588615536689758,236.4774158242935,0.50415975,<function relu at 0x1370a5d90>,32,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>,brick
1,69.8638526650018,0.49935317039489746,224.68229438752118,0.5141431,<function relu at 0x1370a5d90>,32,0.0,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>,brick
1,182.46278401087358,0.5627425909042358,142.9727415591561,0.52246255,<function relu at 0x1370a5d90>,32,0.0,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>,brick
1,66.11805355718496,0.54463130235672,162.49450995032151,0.5196894,<function relu at 0x1370a5d90>,32,0.0,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>,brick
1,169.7114847980218,0.4501940608024597,158.00485492691487,0.50415975,<function relu at 0x1370a5d90>,32,0.0,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>,brick
