round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes
1,165.38993422889462,0.5342820286750793,298.15309628842607,0.5180255,<function relu at 0x1370a5d90>,64,0.0,20,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,80.43952665538714,0.4644243121147156,180.48553917874776,0.5246811,<function relu at 0x1370a5d90>,64,0.0,20,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,65.69663799379653,0.48771020770072937,186.40842825349543,0.49195784,<function relu at 0x1370a5d90>,64,0.0,20,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,193.20339152544622,0.49935317039489746,270.8355345596423,0.52579033,<function relu at 0x1370a5d90>,64,0.0,40,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,98.21935176479246,0.4683052897453308,186.31467120804788,0.51525235,<function relu at 0x1370a5d90>,64,0.0,40,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,82.01530665783802,0.5097024440765381,137.53134191875913,0.52634495,<function relu at 0x1370a5d90>,64,0.0,40,64,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,98.56733774676206,0.48253557085990906,171.3337625597691,0.51136994,<function relu at 0x1370a5d90>,64,0.0,40,64,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,194.7810801398708,0.5097024440765381,271.46197787352025,0.52689964,<function relu at 0x1370a5d90>,64,0.0,40,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,138.8435800806517,0.529107391834259,362.21387902723706,0.5036051,<function relu at 0x1370a5d90>,64,0.0,40,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,70.77189351978771,0.4799482524394989,145.36537343690082,0.50804216,<function relu at 0x1370a5d90>,64,0.0,40,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,88.91163499049968,0.5523932576179504,181.95617588400773,0.5085968,<function relu at 0x1370a5d90>,64,0.0,40,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,405.5127635329075,0.4786545932292938,947.8943808624894,0.583472,<function relu at 0x1370a5d90>,64,0.0,40,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,95.11446529649979,0.5135834217071533,238.70106886124782,0.50637823,<function relu at 0x1370a5d90>,64,0.0,40,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,58.39478118299358,0.4631306529045105,90.98274325954206,0.53078204,<function relu at 0x1370a5d90>,64,0.0,40,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,49.981662478823246,0.5045278072357178,86.26326715212296,0.50748754,<function relu at 0x1370a5d90>,64,0.0,40,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,340.24172630162013,0.527813732624054,913.4384422704238,0.44037715,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,169.54844655657493,0.5420439839363098,349.07210747691835,0.5085968,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
