round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
1,0.18742926709864766,0.5679172277450562,0.17996140899621177,0.5851359,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,1.8499999999999999,<class 'keras.optimizers.Nadam'>,brick,None
1,0.18742926709864766,0.5679172277450562,0.18164425195751094,0.58125347,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,1.8499999999999999,<class 'keras.optimizers.Nadam'>,long_funnel,None
1,0.18742926709864766,0.5679172277450562,0.17923836766251972,0.5867998,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,1.8499999999999999,<class 'keras.optimizers.RMSprop'>,brick,None
1,0.1964080904310456,0.5472186207771301,0.18669559832618954,0.5696062,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,1.8499999999999999,<class 'keras.optimizers.RMSprop'>,long_funnel,None
1,0.18742926709864766,0.5679172277450562,0.18236477468916923,0.57958955,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.3,<class 'keras.optimizers.Adam'>,brick,None
1,0.24635164148594707,0.43208280205726624,0.25598607087095643,0.40987244,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.3,<class 'keras.optimizers.Adam'>,long_funnel,None
1,0.24635164148594707,0.43208280205726624,0.24217528841988747,0.44148642,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.3,<class 'keras.optimizers.Nadam'>,brick,None
1,0.24635164148594707,0.43208280205726624,0.2314460543017882,0.46644482,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.3,<class 'keras.optimizers.Nadam'>,long_funnel,None
1,0.24242348319346044,0.4411384165287018,0.25021194849686035,0.4231836,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.3,<class 'keras.optimizers.RMSprop'>,brick,None
1,0.24635164148594707,0.43208280205726624,0.2503355297854525,0.42262894,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.3,<class 'keras.optimizers.RMSprop'>,long_funnel,None
1,0.24635164148594707,0.43208280205726624,0.25406136409613533,0.41430947,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.75,<class 'keras.optimizers.Adam'>,brick,None
1,0.18742926709864766,0.5679172277450562,0.2074803799572615,0.5213533,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.75,<class 'keras.optimizers.Adam'>,long_funnel,None
1,0.18742926709864766,0.5679172277450562,0.18020072131439904,0.58458126,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.75,<class 'keras.optimizers.Nadam'>,brick,None
1,0.24635164148594707,0.43208280205726624,0.21364249346061873,0.50748754,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.75,<class 'keras.optimizers.Nadam'>,long_funnel,None
1,0.18742926709864766,0.5679172277450562,0.18116027609348562,0.5823627,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.75,<class 'keras.optimizers.RMSprop'>,brick,None
1,0.2469128070334105,0.43078914284706116,0.2518965346708737,0.41930115,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,2.75,<class 'keras.optimizers.RMSprop'>,long_funnel,None
1,0.18742926709864766,0.5679172277450562,0.17971954471986953,0.5856905,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,3.1999999999999997,<class 'keras.optimizers.Adam'>,brick,None
1,0.19528558368362092,0.5498059391975403,0.1826066054440973,0.5790349,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,3.1999999999999997,<class 'keras.optimizers.Adam'>,long_funnel,None
1,0.18742926709864766,0.5679172277450562,0.1845302891215548,0.5745979,<function relu at 0x1370a5d90>,2,0.0,None,150,4,0,<function sigmoid at 0x1370a5ea0>,<function logcosh at 0x137054510>,3.1999999999999997,<class 'keras.optimizers.Nadam'>,brick,None
