winner,loser,method,how,round,event_name,date,venue,city,country,attendance,url
Jason MacDonald,Rory Singer,tko,punches and elbows,2.0,UFC 72: Victory,2007-06-16,The Odyssey,belfast,uk,7850.0,https://en.wikipedia.org/wiki/UFC_72
Tyson Griffin,Clay Guida,decision,"29–28, 28–29, 29–28",3.0,UFC 72: Victory,2007-06-16,The Odyssey,belfast,uk,7850.0,https://en.wikipedia.org/wiki/UFC_72
Ed Herman,Scott Smith,submission,rearnaked choke,2.0,UFC 72: Victory,2007-06-16,The Odyssey,belfast,uk,7850.0,https://en.wikipedia.org/wiki/UFC_72
Eddie Sanchez,Colin Robinson,tko,punches,2.0,UFC 72: Victory,2007-06-16,The Odyssey,belfast,uk,7850.0,https://en.wikipedia.org/wiki/UFC_72
Dustin Hazelett,Steven Lynch,submission,anaconda choke,1.0,UFC 72: Victory,2007-06-16,The Odyssey,belfast,uk,7850.0,https://en.wikipedia.org/wiki/UFC_72
Marcus Davis,Jason Tan,ko,punch,1.0,UFC 72: Victory,2007-06-16,The Odyssey,belfast,uk,7850.0,https://en.wikipedia.org/wiki/UFC_72
B.J. Penn,Jens Pulver,submission,rearnaked choke,2.0,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_5_Finale
Nate Diaz,Manvel Gamburyan,submission,shoulder injury,2.0,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_5_Finale
Thales Leites,Floyd Sword,submission,katagatame choke,1.0,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_5_Finale
Roger Huerta,Doug Evans,tko,punches,2.0,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_5_Finale
Joe Lauzon,Brandon Melendez,submission,triangle choke,2.0,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_5_Finale
Cole Miller,Andy Wang,tko,head kick and punches,1.0,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_5_Finale
Gray Maynard,Rob Emerson,no contest,contest,2.0,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_5_Finale
Leonard Garcia,Allen Berube,submission,rearnaked choke,1.0,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_5_Finale
Matt Wiman,Brian Geraghty,tko,punches,1.0,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_5_Finale
Anderson Silva ,Nate Marquardt,tko,punches,1.0,UFC 73: Stacked,2007-07-07,ARCO Arena,sacramento,usa,13183.0,https://en.wikipedia.org/wiki/UFC_73
Tito Ortiz,Rashad Evans,draw,unanimous,3.0,UFC 73: Stacked,2007-07-07,ARCO Arena,sacramento,usa,13183.0,https://en.wikipedia.org/wiki/UFC_73
Sean Sherk ,Hermes França,decision,"50–45, 50–45, 49–46",5.0,UFC 73: Stacked,2007-07-07,ARCO Arena,sacramento,usa,13183.0,https://en.wikipedia.org/wiki/UFC_73
Antônio Rodrigo Nogueira,Heath Herring,decision,"29–28, 29–28, 29–28",3.0,UFC 73: Stacked,2007-07-07,ARCO Arena,sacramento,usa,13183.0,https://en.wikipedia.org/wiki/UFC_73
Kenny Florian,Alvin Robinson,tko,punches,1.0,UFC 73: Stacked,2007-07-07,ARCO Arena,sacramento,usa,13183.0,https://en.wikipedia.org/wiki/UFC_73
Stephan Bonnar,Mike Nickels,submission,rearnaked choke,1.0,UFC 73: Stacked,2007-07-07,ARCO Arena,sacramento,usa,13183.0,https://en.wikipedia.org/wiki/UFC_73
Jorge Gurgel,Diego Saraiva,decision,"30–27, 30–27, 30–27",3.0,UFC 73: Stacked,2007-07-07,ARCO Arena,sacramento,usa,13183.0,https://en.wikipedia.org/wiki/UFC_73
Chris Lytle,Jason Gilliam,submission,inverted triangle choke and americana,1.0,UFC 73: Stacked,2007-07-07,ARCO Arena,sacramento,usa,13183.0,https://en.wikipedia.org/wiki/UFC_73
Frankie Edgar,Mark Bocek,tko,punches,1.0,UFC 73: Stacked,2007-07-07,ARCO Arena,sacramento,usa,13183.0,https://en.wikipedia.org/wiki/UFC_73
Randy Couture ,Gabriel Gonzaga,tko,punches,3.0,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,las vegas,usa,11065.0,https://en.wikipedia.org/wiki/UFC_74
Georges St-Pierre,Josh Koscheck,decision,"30–27, 29–28, 29–28",3.0,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,las vegas,usa,11065.0,https://en.wikipedia.org/wiki/UFC_74
Roger Huerta,Alberto Crane,tko,punches,3.0,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,las vegas,usa,11065.0,https://en.wikipedia.org/wiki/UFC_74
Joe Stevenson,Kurt Pellegrino,decision,"30–27, 30–27, 29–28",3.0,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,las vegas,usa,11065.0,https://en.wikipedia.org/wiki/UFC_74
Patrick Côté,Kendall Grove,ko,punches,1.0,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,las vegas,usa,11065.0,https://en.wikipedia.org/wiki/UFC_74
Renato Sobral,David Heath,submission,anaconda choke,2.0,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,las vegas,usa,11065.0,https://en.wikipedia.org/wiki/UFC_74
Frank Mir,Antoni Hardonk,submission,kimura,1.0,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,las vegas,usa,11065.0,https://en.wikipedia.org/wiki/UFC_74
Thales Leites,Ryan Jensen,submission,armbar,1.0,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,las vegas,usa,11065.0,https://en.wikipedia.org/wiki/UFC_74
Clay Guida,Marcus Aurélio,decision,"30–27, 28–29, 30–27",3.0,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,las vegas,usa,11065.0,https://en.wikipedia.org/wiki/UFC_74
Quinton Jackson,Dan Henderson,decision,"48–47, 49–46, 49–46",5.0,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,london,uk,16235.0,https://en.wikipedia.org/wiki/UFC_75
Michael Bisping,Matt Hamill,decision,"29–28, 27–30, 29–28",3.0,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,london,uk,16235.0,https://en.wikipedia.org/wiki/UFC_75
Cheick Kongo,Mirko Cro Cop,decision,"29–28, 29–28, 29–28",3.0,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,london,uk,16235.0,https://en.wikipedia.org/wiki/UFC_75
Marcus Davis,Paul Taylor,submission,armbar,1.0,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,london,uk,16235.0,https://en.wikipedia.org/wiki/UFC_75
Houston Alexander,Alessio Sakara,ko,knee and punches,1.0,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,london,uk,16235.0,https://en.wikipedia.org/wiki/UFC_75
Gleison Tibau,Terry Etim,decision,"30–27, 30–27, 30–27",3.0,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,london,uk,16235.0,https://en.wikipedia.org/wiki/UFC_75
Thiago Silva,Tomasz Drwal,tko,punches,2.0,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,london,uk,16235.0,https://en.wikipedia.org/wiki/UFC_75
Dennis Siver,Naoyuki Kotani,ko,punch,2.0,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,london,uk,16235.0,https://en.wikipedia.org/wiki/UFC_75
Jess Liaudin,Anthony Torres,tko,punches,1.0,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,london,uk,16235.0,https://en.wikipedia.org/wiki/UFC_75
Kenny Florian,Din Thomas,submission,rearnaked choke,1.0,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thomas_vs._Florian
Chris Leben,Terry Martin,ko,punch,3.0,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thomas_vs._Florian
Nate Diaz,Junior Assuncao,submission,guillotine choke,1.0,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thomas_vs._Florian
Nate Quarry,Pete Sell,ko,punch,3.0,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thomas_vs._Florian
Dustin Hazelett,Jonathan Goulet,submission,armbar,1.0,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thomas_vs._Florian
Thiago Alves,Kuniyoshi Hironaka,tko,punch and knee,2.0,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thomas_vs._Florian
Cole Miller,Leonard Garcia,decision,"30–27, 29–28, 30–27",3.0,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thomas_vs._Florian
Luke Cummo,Edilberto de Oliveira,tko,punches,1.0,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thomas_vs._Florian
Gray Maynard,Joe Veres,ko,punch,1.0,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thomas_vs._Florian
Keith Jardine,Chuck Liddell,decision,"29–28, 28–29, 29–28",3.0,UFC 76: Knockout,2007-09-22,Honda Center,anaheim,usa,13770.0,https://en.wikipedia.org/wiki/UFC_76
Forrest Griffin,Maurício Rua,submission,rearnaked choke,3.0,UFC 76: Knockout,2007-09-22,Honda Center,anaheim,usa,13770.0,https://en.wikipedia.org/wiki/UFC_76
Jon Fitch,Diego Sanchez,decision,"30–27, 28–29, 29–28",3.0,UFC 76: Knockout,2007-09-22,Honda Center,anaheim,usa,13770.0,https://en.wikipedia.org/wiki/UFC_76
Lyoto Machida,Kazuhiro Nakamura,decision,"30–27, 30–27, 30–27",3.0,UFC 76: Knockout,2007-09-22,Honda Center,anaheim,usa,13770.0,https://en.wikipedia.org/wiki/UFC_76
Tyson Griffin,Thiago Tavares,decision,"29–28, 30–27, 29–28",3.0,UFC 76: Knockout,2007-09-22,Honda Center,anaheim,usa,13770.0,https://en.wikipedia.org/wiki/UFC_76
Rich Clementi,Anthony Johnson,submission,rearnaked choke,2.0,UFC 76: Knockout,2007-09-22,Honda Center,anaheim,usa,13770.0,https://en.wikipedia.org/wiki/UFC_76
Jeremy Stephens,Diego Saraiva,decision,"30–27, 30–27, 30–27",3.0,UFC 76: Knockout,2007-09-22,Honda Center,anaheim,usa,13770.0,https://en.wikipedia.org/wiki/UFC_76
Christian Wellisch,Scott Junk,submission,heel hook,1.0,UFC 76: Knockout,2007-09-22,Honda Center,anaheim,usa,13770.0,https://en.wikipedia.org/wiki/UFC_76
Matt Wiman,Michihiro Omigawa,decision,"29–28, 30–27, 29–28",3.0,UFC 76: Knockout,2007-09-22,Honda Center,anaheim,usa,13770.0,https://en.wikipedia.org/wiki/UFC_76
Anderson Silva ,Rich Franklin,tko,knees,2.0,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,cincinnati,usa,16054.0,https://en.wikipedia.org/wiki/UFC_77
Tim Sylvia,Brandon Vera,decision,"29–27, 29–28, 29–28",3.0,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,cincinnati,usa,16054.0,https://en.wikipedia.org/wiki/UFC_77
Alvin Robinson,Jorge Gurgel,decision,"29–28, 29–27, 29–27",3.0,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,cincinnati,usa,16054.0,https://en.wikipedia.org/wiki/UFC_77
Stephan Bonnar,Eric Schafer,tko,punches,2.0,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,cincinnati,usa,16054.0,https://en.wikipedia.org/wiki/UFC_77
Alan Belcher,Kalib Starnes,tko,doctor stoppage,2.0,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,cincinnati,usa,16054.0,https://en.wikipedia.org/wiki/UFC_77
Yushin Okami,Jason MacDonald,decision,"30–27, 30–27, 30–27",3.0,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,cincinnati,usa,16054.0,https://en.wikipedia.org/wiki/UFC_77
Demian Maia,Ryan Jensen,submission,rearnaked choke,1.0,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,cincinnati,usa,16054.0,https://en.wikipedia.org/wiki/UFC_77
Josh Burkman,Forrest Petz,decision,"29–28, 29–28, 28–29",3.0,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,cincinnati,usa,16054.0,https://en.wikipedia.org/wiki/UFC_77
Matt Grice,Jason Black,decision,"28–29, 29–28, 29–28",3.0,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,cincinnati,usa,16054.0,https://en.wikipedia.org/wiki/UFC_77
Rashad Evans,Michael Bisping,decision,"29–28, 28–29, 29–28",3.0,UFC 78: Validation,2007-11-17,Prudential Center,newark,usa,14071.0,https://en.wikipedia.org/wiki/UFC_78
Thiago Silva,Houston Alexander,tko,punches,1.0,UFC 78: Validation,2007-11-17,Prudential Center,newark,usa,14071.0,https://en.wikipedia.org/wiki/UFC_78
Karo Parisyan,Ryo Chonan,decision,"30–27, 30–27, 30–27",3.0,UFC 78: Validation,2007-11-17,Prudential Center,newark,usa,14071.0,https://en.wikipedia.org/wiki/UFC_78
Ed Herman,Joe Doerksen,ko,punch,3.0,UFC 78: Validation,2007-11-17,Prudential Center,newark,usa,14071.0,https://en.wikipedia.org/wiki/UFC_78
Frankie Edgar,Spencer Fisher,decision,"30–27, 30–27, 30–26",3.0,UFC 78: Validation,2007-11-17,Prudential Center,newark,usa,14071.0,https://en.wikipedia.org/wiki/UFC_78
Thiago Alves,Chris Lytle,tko,doctor stoppage,2.0,UFC 78: Validation,2007-11-17,Prudential Center,newark,usa,14071.0,https://en.wikipedia.org/wiki/UFC_78
Joe Lauzon,Jason Reinhardt,submission,rearnaked choke,1.0,UFC 78: Validation,2007-11-17,Prudential Center,newark,usa,14071.0,https://en.wikipedia.org/wiki/UFC_78
Marcus Aurélio,Luke Caudillo,tko,punches,1.0,UFC 78: Validation,2007-11-17,Prudential Center,newark,usa,14071.0,https://en.wikipedia.org/wiki/UFC_78
Akihiro Gono,Tamdan McCrory,submission,armbar,2.0,UFC 78: Validation,2007-11-17,Prudential Center,newark,usa,14071.0,https://en.wikipedia.org/wiki/UFC_78
Roger Huerta,Clay Guida,submission,rearnaked choke,3.0,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Hughes_vs._Team_Serra_Finale
Mac Danzig,Tom Speer,submission,rearnaked choke,1.0,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Hughes_vs._Team_Serra_Finale
Jon Koppenhaver,Jared Rollins,tko,punches,3.0,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Hughes_vs._Team_Serra_Finale
George Sotiropoulos,Billy Miles,submission,rearnaked choke,1.0,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Hughes_vs._Team_Serra_Finale
Ben Saunders,Dan Barrera,decision,"30–27, 29–28, 30–27",3.0,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Hughes_vs._Team_Serra_Finale
Matt Arroyo,John Kolosci,submission,armbar,1.0,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Hughes_vs._Team_Serra_Finale
Jonathan Goulet,Paul Georgieff,submission,rearnaked choke,1.0,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Hughes_vs._Team_Serra_Finale
Roman Mitichyan,Dorian Price,submission,ankle lock,1.0,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Hughes_vs._Team_Serra_Finale
Troy Mandaloniz,Richie Hightower,tko,punches,1.0,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Hughes_vs._Team_Serra_Finale
Georges St-Pierre,Matt Hughes,submission,armbar,2.0,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,las vegas,usa,11075.0,https://en.wikipedia.org/wiki/UFC_79
Chuck Liddell,Wanderlei Silva,decision,"29–28, 30–27, 30–27",3.0,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,las vegas,usa,11075.0,https://en.wikipedia.org/wiki/UFC_79
Eddie Sanchez,Soa Palelei,tko,punches,3.0,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,las vegas,usa,11075.0,https://en.wikipedia.org/wiki/UFC_79
Lyoto Machida,Rameau Thierry Sokoudjou,submission,armtriangle choke,2.0,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,las vegas,usa,11075.0,https://en.wikipedia.org/wiki/UFC_79
Rich Clementi,Melvin Guillard,submission,rearnaked choke,1.0,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,las vegas,usa,11075.0,https://en.wikipedia.org/wiki/UFC_79
James Irvin,Luiz Cane,disqualification,illegal knee,1.0,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,las vegas,usa,11075.0,https://en.wikipedia.org/wiki/UFC_79
Manvel Gamburyan,Nate Mohr,submission,ankle lock,1.0,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,las vegas,usa,11075.0,https://en.wikipedia.org/wiki/UFC_79
Dean Lister,Jordan Radev,decision,"30–27, 30–27, 30–27",3.0,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,las vegas,usa,11075.0,https://en.wikipedia.org/wiki/UFC_79
Roan Carneiro,Tony DeSouza,tko,punches,2.0,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,las vegas,usa,11075.0,https://en.wikipedia.org/wiki/UFC_79
Mark Bocek,Doug Evans,decision,"29–28, 29–28, 29–28",3.0,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,las vegas,usa,11075.0,https://en.wikipedia.org/wiki/UFC_79
B.J. Penn,Joe Stevenson,submission,rearnaked choke,2.0,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,newcastle upon tyne,uk,8412.0,https://en.wikipedia.org/wiki/UFC_80
Fabrício Werdum,Gabriel Gonzaga,tko,punches,2.0,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,newcastle upon tyne,uk,8412.0,https://en.wikipedia.org/wiki/UFC_80
Marcus Davis,Jess Liaudin,ko,punch,1.0,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,newcastle upon tyne,uk,8412.0,https://en.wikipedia.org/wiki/UFC_80
Wilson Gouveia,Jason Lambert,ko,punch,2.0,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,newcastle upon tyne,uk,8412.0,https://en.wikipedia.org/wiki/UFC_80
Jorge Rivera,Kendall Grove,tko,punches,1.0,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,newcastle upon tyne,uk,8412.0,https://en.wikipedia.org/wiki/UFC_80
Sam Stout,Per Eklund,decision,"29–27, 30–27, 30–27",3.0,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,newcastle upon tyne,uk,8412.0,https://en.wikipedia.org/wiki/UFC_80
Alessio Sakara,James Lee,tko,punches,1.0,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,newcastle upon tyne,uk,8412.0,https://en.wikipedia.org/wiki/UFC_80
Paul Kelly,Paul Taylor,decision,"30–27, 30–27, 30–27",3.0,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,newcastle upon tyne,uk,8412.0,https://en.wikipedia.org/wiki/UFC_80
Antoni Hardonk,Colin Robinson,tko,leg kicks,1.0,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,newcastle upon tyne,uk,8412.0,https://en.wikipedia.org/wiki/UFC_80
Mike Swick,Josh Burkman,decision,"29–28, 29–28, 29–29",3.0,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,las vegas,usa,1900.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swick_vs._Burkman
Patrick Côté,Drew McFedries,tko,punches,1.0,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,las vegas,usa,1900.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swick_vs._Burkman
Thiago Tavares,Michihiro Omigawa,decision,"30–27, 29–28, 30–27",3.0,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,las vegas,usa,1900.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swick_vs._Burkman
Nate Diaz,Alvin Robinson,submission,triangle choke,1.0,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,las vegas,usa,1900.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swick_vs._Burkman
Kurt Pellegrino,Alberto Crane,tko,punches,2.0,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,las vegas,usa,1900.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swick_vs._Burkman
Gray Maynard,Dennis Siver,decision,"29–28, 30–27, 29–28",3.0,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,las vegas,usa,1900.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swick_vs._Burkman
Jeremy Stephens,Cole Miller,tko,punches and elbows,2.0,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,las vegas,usa,1900.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swick_vs._Burkman
Corey Hill,Joe Veres,tko,punches,2.0,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,las vegas,usa,1900.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swick_vs._Burkman
Matt Wiman,Justin Buchholz,submission,rearnaked choke,1.0,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,las vegas,usa,1900.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swick_vs._Burkman
Antônio Rodrigo Nogueira,Tim Sylvia,submission,guillotine choke,3.0,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,las vegas,usa,10583.0,https://en.wikipedia.org/wiki/UFC_81
Frank Mir,Brock Lesnar,submission,kneebar,1.0,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,las vegas,usa,10583.0,https://en.wikipedia.org/wiki/UFC_81
Nate Marquardt,Jeremy Horn,submission,guillotine choke,2.0,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,las vegas,usa,10583.0,https://en.wikipedia.org/wiki/UFC_81
Ricardo Almeida,Rob Yundt,submission,guillotine choke,1.0,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,las vegas,usa,10583.0,https://en.wikipedia.org/wiki/UFC_81
Tyson Griffin,Gleison Tibau,decision,"30–27, 30–27, 30–27",3.0,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,las vegas,usa,10583.0,https://en.wikipedia.org/wiki/UFC_81
Chris Lytle,Kyle Bradley,ko,punches,1.0,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,las vegas,usa,10583.0,https://en.wikipedia.org/wiki/UFC_81
Marvin Eastman,Terry Martin,decision,"29–28, 30–27, 30–27",3.0,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,las vegas,usa,10583.0,https://en.wikipedia.org/wiki/UFC_81
Tim Boetsch,David Heath,tko,slam and punches,1.0,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,las vegas,usa,10583.0,https://en.wikipedia.org/wiki/UFC_81
Rob Emerson,Keita Nakamura,decision,"30–27, 28–29, 30–27",3.0,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,las vegas,usa,10583.0,https://en.wikipedia.org/wiki/UFC_81
Anderson Silva ,Dan Henderson ,submission,rearnaked choke,2.0,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,columbus,usa,16431.0,https://en.wikipedia.org/wiki/UFC_82
Heath Herring,Cheick Kongo,decision,"29–28, 28–29, 29–28",3.0,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,columbus,usa,16431.0,https://en.wikipedia.org/wiki/UFC_82
Chris Leben,Alessio Sakara,tko,punches,1.0,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,columbus,usa,16431.0,https://en.wikipedia.org/wiki/UFC_82
Yushin Okami,Evan Tanner,ko,knee,2.0,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,columbus,usa,16431.0,https://en.wikipedia.org/wiki/UFC_82
Jon Fitch,Chris Wilson,decision,"30–27, 29–28, 30–27",3.0,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,columbus,usa,16431.0,https://en.wikipedia.org/wiki/UFC_82
Andrei Arlovski,Jake O'Brien,tko,punches,2.0,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,columbus,usa,16431.0,https://en.wikipedia.org/wiki/UFC_82
Josh Koscheck,Dustin Hazelett,tko,head kick and punches,2.0,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,columbus,usa,16431.0,https://en.wikipedia.org/wiki/UFC_82
Diego Sanchez,David Bielkheden,submission,strikes,1.0,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,columbus,usa,16431.0,https://en.wikipedia.org/wiki/UFC_82
Luigi Fioravanti,Luke Cummo,decision,"30–27, 30–27, 30–27",3.0,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,columbus,usa,16431.0,https://en.wikipedia.org/wiki/UFC_82
