round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes
10,0.6826068486135031,0.6680412292480469,0.6836602920246377,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,10,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.668386919228072,0.6680412292480469,0.6709432091784625,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,10,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,0.6827112582541004,0.6680412292480469,0.6838069349975316,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,10,64,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.670491630146184,0.6680412292480469,0.6730150042857669,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,10,64,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,0.682617915168251,0.6680412292480469,0.6837131643485012,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,10,128,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.6660412632312971,0.6680412292480469,0.6687294510378445,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,10,128,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,0.6791183857573676,0.6680412292480469,0.6813474320711866,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,10,128,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.6229904944134742,0.6680412292480469,0.632525176679424,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,10,128,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
15,0.6780639670558811,0.6680412292480469,0.6794279107575286,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,15,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.659473999136502,0.6680412292480469,0.6625565649343739,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,15,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
15,0.6809667311992842,0.6680412292480469,0.682126209021247,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,15,64,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6615064274404466,0.6680412292480469,0.6644391103406379,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,15,64,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
15,0.6778682605507448,0.6680412292480469,0.6792131277652677,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,15,128,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6617800672029711,0.6680412292480469,0.6646682170510397,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,15,128,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
15,0.6781042058443286,0.6680412292480469,0.6794470885388099,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,15,128,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6226147064228648,0.6680412292480469,0.6352933473970698,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,15,128,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,0.6697200616610419,0.6680412292480469,0.6717460923338231,0.6587091,<function relu at 0x1342bcbf8>,64,0.0,25,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
